geneid,feature_name,counts_tpm_round,sample,size,mu,fc,log2FC,lower_than_p,higher_than_p,p_value,p_adj,refseq_id,type,all_kegg_gene_names,gene_definition,all_kegg_paths_name,num_of_paths
ENSG00000064666,CNN2,17,Testis,8.14162026159701,21.2791331910081,0.798904722640849,-0.323904637253185,0.368983556873162,0.631016443126838,0.737967113746324,0.854566517635654,1265,"","",,,1
ENSG00000065328,MCM10,2,Testis,3035396.85561064,3.44016007573178,0.581368295652512,-0.782475697221362,0.332057319220916,0.667942680779084,0.664114638441833,0.812076492132348,55388,"","",,,1
ENSG00000065361,ERBB3,8,Testis,51067859.6505843,3.89492078563152,2.05395704824402,1.03840601274995,0.981603347560203,0.0183966524397971,0.0367933048795943,0.232735184852451,2065,CDS,(RefSeq) erb-b2 receptor tyrosine kinase 3,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, ErbB signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway, Proteoglycans in cancer, MicroRNAs in cancer",7
ENSG00000065559,MAP2K4,22,Testis,85.8551784831585,22.9465638126852,0.958749213154001,-0.0607746062919081,0.485882628287072,0.514117371712928,0.971765256574144,0.986430423817747,6416,CDS,(RefSeq) mitogen-activated protein kinase kinase 4,,"MAPK signaling pathway, ErbB signaling pathway, Toll-like receptor signaling pathway, Fc epsilon RI signaling pathway, TNF signaling pathway, GnRH signaling pathway, Relaxin signaling pathway, Growth hormone synthesis, secretion and action, Alcoholic liver disease, Epithelial cell signaling in Helicobacter pylori infection, Salmonella infection, Yersinia infection, Chagas disease, Hepatitis B, Human T-cell leukemia virus 1 infection, Kaposi sarcoma-associated herpesvirus infection, Epstein-Barr virus infection, Chemical carcinogenesis - reactive oxygen species, Lipid and atherosclerosis, Fluid shear stress and atherosclerosis",20
ENSG00000065809,FAM107B,23,Testis,129.577970320254,26.092100417455,0.881492851553398,-0.181979224797697,0.333655390669049,0.666344609330951,0.667310781338098,0.813725695792922,83641,"","",,,1
ENSG00000066468,FGFR2,5,Testis,26941767.7979964,7.14155470089017,0.700127662591,-0.514310085123725,0.28299604573983,0.71700395426017,0.565992091479661,0.774842828344554,2263,CDS,(RefSeq) fibroblast growth factor receptor 2,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Gastric cancer, Central carbon metabolism in cancer",13
ENSG00000067225,PKM,81,Testis,42.0263786544977,343.051284241626,0.236116300159215,-2.0824304542224,6.34621811007447e-12,0.999999999993654,1.26924362201489e-11,2.28904618236564e-09,5315,CDS,(RefSeq) pyruvate kinase M1/2,,"Glycolysis / Gluconeogenesis, Pyruvate metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids, Glucagon signaling pathway, Type II diabetes mellitus, Human papillomavirus infection, Viral carcinogenesis, Central carbon metabolism in cancer",10
ENSG00000068078,FGFR3,34,Testis,11.7115340319209,43.3787353669172,0.783794172707259,-0.351453247945697,0.286338447196438,0.713661552803562,0.572676894392876,0.774842828344554,2261,CDS,(RefSeq) fibroblast growth factor receptor 3,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, MicroRNAs in cancer, Bladder cancer, Central carbon metabolism in cancer",13
ENSG00000069702,TGFBR3,16,Testis,6.48393767110924,12.0443385628604,1.32842496219238,0.409716737628653,0.79532492223815,0.20467507776185,0.4093501555237,0.774842828344554,7049,"","",,,1
ENSG00000070018,LRP6,12,Testis,27835387.3103508,9.02795767233516,1.32920428246714,0.41056284626488,0.873729583161628,0.126270416838372,0.252540833676744,0.774842828344554,4040,CDS,(RefSeq) LDL receptor related protein 6,,"mTOR signaling pathway, Wnt signaling pathway, Parathyroid hormone synthesis, secretion and action, Alzheimer disease, Pathways of neurodegeneration - multiple diseases, Pathways in cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer",9
ENSG00000070193,FGF10,1,Testis,14.7885221681222,2.09980583231389,0.476234509215571,-1.07025592898238,0.398464526914458,0.601535473085542,0.796929053828916,0.889993763239079,2255,CDS,(RefSeq) fibroblast growth factor 10,,"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway, Regulation of actin cytoskeleton, Pathways in cancer, Chemical carcinogenesis - receptor activation, Melanoma, Breast cancer, Gastric cancer",11
ENSG00000070669,ASNS,2,Testis,28.1196194943603,53.2471570859333,0.0375606907383297,-4.73463259548379,2.0605908498806e-11,0.999999999979394,4.12118169976121e-11,6.85901599929396e-09,440,CDS,(RefSeq) asparagine synthetase (glutamine-hydrolyzing),,"Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of amino acids",3
ENSG00000072682,P4HA2,5,Testis,6697777.34149377,8.07222901260173,0.619407600081018,-0.69103901001504,0.184709026003512,0.815290973996488,0.369418052007023,0.774842828344554,8974,CDS,(RefSeq) prolyl 4-hydroxylase subunit alpha 2,,"Arginine and proline metabolism, Metabolic pathways",2
