geneid,feature_name,counts_tpm_round,sample,size,mu,fc,log2FC,lower_than_p,higher_than_p,p_value,p_adj,refseq_id,type,all_kegg_gene_names,gene_definition,all_kegg_paths_name,num_of_paths
ENSG00000133433,GSTT2B,9,Spleen,9.25169830940724,6.15328279503852,1.46263389799943,0.548568703422438,0.854277036781917,0.145722963218083,0.291445926436166,0.678364686217073,653689,CDS,(RefSeq) glutathione S-transferase theta 2B,,"Glutathione metabolism, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes, Metabolic pathways, Platinum drug resistance, Pathways in cancer, Chemical carcinogenesis - DNA adducts, Chemical carcinogenesis - receptor activation, Chemical carcinogenesis - reactive oxygen species, Hepatocellular carcinoma, Fluid shear stress and atherosclerosis",12
ENSG00000133703,KRAS,9,Spleen,21536619.3486522,14.2194533937018,0.632935721986779,-0.659869101204597,0.0994099136420616,0.900590086357938,0.198819827284123,0.678364686217073,3845,CDS,"(RefSeq) KRAS proto-oncogene, GTPase",,"EGFR tyrosine kinase inhibitor resistance, Endocrine resistance, MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Chemokine signaling pathway, FoxO signaling pathway, Sphingolipid signaling pathway, Phospholipase D signaling pathway, Mitophagy - animal, Autophagy - animal, mTOR signaling pathway, PI3K-Akt signaling pathway, Apoptosis, Longevity regulating pathway, Longevity regulating pathway - multiple species, Cellular senescence, Axon guidance, VEGF signaling pathway, Apelin signaling pathway, Gap junction, Signaling pathways regulating pluripotency of stem cells, C-type lectin receptor signaling pathway, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Thermogenesis, Long-term potentiation, Neurotrophin signaling pathway, Cholinergic synapse, Serotonergic synapse, Long-term depression, Regulation of actin cytoskeleton, Insulin signaling pathway, GnRH signaling pathway, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Melanogenesis, Prolactin signaling pathway, Thyroid hormone signaling pathway, Oxytocin signaling pathway, Relaxin signaling pathway, GnRH secretion, AGE-RAGE signaling pathway in diabetic complications, Growth hormone synthesis, secretion and action, Aldosterone-regulated sodium reabsorption, Alzheimer disease, Pathways of neurodegeneration - multiple diseases, Alcoholism, Hepatitis C, Hepatitis B, Human cytomegalovirus infection, Human papillomavirus infection, Human T-cell leukemia virus 1 infection, Kaposi sarcoma-associated herpesvirus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Viral carcinogenesis, Proteoglycans in cancer, MicroRNAs in cancer, Chemical carcinogenesis - receptor activation, Chemical carcinogenesis - reactive oxygen species, Colorectal cancer, Renal cell carcinoma, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Thyroid cancer, Melanoma, Bladder cancer, Chronic myeloid leukemia, Acute myeloid leukemia, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer, Central carbon metabolism in cancer, Choline metabolism in cancer, PD-L1 expression and PD-1 checkpoint pathway in cancer, Lipid and atherosclerosis",83
ENSG00000134057,CCNB1,22,Spleen,3.15548948694609,13.0399355842506,1.68712489857475,0.754566780907306,0.875449220343061,0.12455077965694,0.249101559313879,0.678364686217073,891,CDS,(RefSeq) cyclin B1,,"FoxO signaling pathway, Cell cycle, Oocyte meiosis, p53 signaling pathway, Cellular senescence, Progesterone-mediated oocyte maturation, Human immunodeficiency virus 1 infection",7
ENSG00000134333,LDHA,41,Spleen,11.2585998559485,171.01549072428,0.239744363661783,-2.06043119669413,0.000202255134235336,0.999797744865765,0.000404510268470671,0.00762976292023906,3939,CDS,(RefSeq) lactate dehydrogenase A,,"Glycolysis / Gluconeogenesis, Cysteine and methionine metabolism, Pyruvate metabolism, Propanoate metabolism, Metabolic pathways, HIF-1 signaling pathway, Glucagon signaling pathway, Central carbon metabolism in cancer",8
ENSG00000134760,DSG1,1,Spleen,6636042.38578312,1.00838984045121,0.991679963329008,-0.0120534881995185,0.732672468818063,0.267327531181937,0.534655062363875,0.678364686217073,1828,CDS,(RefSeq) desmoglein 1,,Staphylococcus aureus infection,1
ENSG00000134853,PDGFRA,13,Spleen,2.57135261404861,70.360697597475,0.184762238634577,-2.43625816335701,0.0373276837147734,0.962672316285227,0.0746553674295469,0.455732504178105,5156,CDS,(RefSeq) platelet derived growth factor receptor alpha,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Phospholipase D signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Gap junction, JAK-STAT signaling pathway, Regulation of actin cytoskeleton, Human cytomegalovirus infection, Pathways in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Central carbon metabolism in cancer, Choline metabolism in cancer",20
ENSG00000134982,APC,7,Spleen,27835387.3103508,8.80938547201562,0.794607072449785,-0.331686460607054,0.34668840658004,0.65331159341996,0.69337681316008,0.768549043447345,324,CDS,(RefSeq) APC regulator of WNT signaling pathway,,"Wnt signaling pathway, Hippo signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Cushing syndrome, Alzheimer disease, Pathways of neurodegeneration - multiple diseases, Human papillomavirus infection, Pathways in cancer, MicroRNAs in cancer, Colorectal cancer, Endometrial cancer, Basal cell carcinoma, Breast cancer, Hepatocellular carcinoma, Gastric cancer",16
ENSG00000135077,HAVCR2,2,Spleen,27.5716350697236,26.0666895303879,0.0767262754124742,-3.70413546712196,1.15488817842022e-06,0.999998845111822,2.30977635684045e-06,8.40692643104912e-05,84868,"","",,,1
ENSG00000135372,NAT10,27,Spleen,43.5623090721628,27.6390488819584,0.976878767258321,-0.0337485631211457,0.514261357109571,0.48573864289043,0.971477285780859,0.979334591553917,55226,CDS,(RefSeq) N-acetyltransferase 10,,Ribosome biogenesis in eukaryotes,1
ENSG00000135446,CDK4,46,Spleen,33.5237115650047,48.3463467626218,0.951467961495783,-0.0717730170211177,0.455488881842551,0.544511118157449,0.910977763685102,0.93489836194279,1019,CDS,(RefSeq) cyclin dependent kinase 4,,"Endocrine resistance, Cell cycle, p53 signaling pathway, PI3K-Akt signaling pathway, Cellular senescence, Tight junction, T cell receptor signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Cushing syndrome, Hepatitis C, Measles, Human cytomegalovirus infection, Influenza A, Human papillomavirus infection, Human T-cell leukemia virus 1 infection, Kaposi sarcoma-associated herpesvirus infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis, Pancreatic cancer, Glioma, Melanoma, Bladder cancer, Chronic myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma",28
ENSG00000135679,MDM2,9,Spleen,108.857389915071,15.5933609958506,0.577168706758915,-0.79293501374778,0.0647189118359678,0.935281088164032,0.129437823671936,0.678364686217073,4193,CDS,(RefSeq) MDM2 proto-oncogene,,"Endocrine resistance, Platinum drug resistance, FoxO signaling pathway, Cell cycle, p53 signaling pathway, Ubiquitin mediated proteolysis, Endocytosis, PI3K-Akt signaling pathway, Cellular senescence, C-type lectin receptor signaling pathway, Thyroid hormone signaling pathway, Shigellosis, Human cytomegalovirus infection, Human papillomavirus infection, Epstein-Barr virus infection, Pathways in cancer, Transcriptional misregulation in cancer, Viral carcinogenesis, Proteoglycans in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Chronic myeloid leukemia",25
ENSG00000135722,FBXL8,3,Spleen,2304145.20584324,13.6310923232564,0.22008507673898,-2.1838667708509,0.000636940903857588,0.999363059096142,0.00127388180771518,0.0196181995692281,55336,"","",,,1
ENSG00000135821,GLUL,77,Spleen,4.46389536630087,258.248074406425,0.298162920195947,-1.74582724094012,0.027331434680043,0.972668565319957,0.054662869360086,0.361857624926443,2752,CDS,(RefSeq) glutamate-ammonia ligase,,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Nitrogen metabolism, Metabolic pathways, Biosynthesis of amino acids, Necroptosis, Glutamatergic synapse, GABAergic synapse",9
ENSG00000135968,GCC2,18,Spleen,31.8444072650251,13.9339524140398,1.29180863154544,0.369392365102213,0.847155074979634,0.152844925020366,0.305689850040732,0.678364686217073,9648,CDS,(RefSeq) GRIP and coiled-coil domain containing 2,,Salmonella infection,1
ENSG00000136143,SUCLA2,19,Spleen,11864377.3228802,14.9619098176975,1.26989135955933,0.344705078313018,0.87733126981679,0.12266873018321,0.245337460366419,0.678364686217073,8803,CDS,(RefSeq) succinate-CoA ligase ADP-forming subunit beta,,"Citrate cycle (TCA cycle), Propanoate metabolism, Metabolic pathways, Carbon metabolism",4
ENSG00000136152,COG3,19,Spleen,3198043.31068463,19.0222370189533,0.998830998744725,-0.00168749885020107,0.558581097378321,0.441418902621679,0.882837805243359,0.914318726999104,83548,"","",,,1
ENSG00000136279,DBNL,15,Spleen,29.717213230304,64.5263547858688,0.232463154780362,-2.10492602652929,1.70791731572131e-06,0.999998292082684,3.41583463144261e-06,0.000118190828382698,28988,"","",,,1
ENSG00000136492,BRIP1,2,Spleen,35494955.4354161,1.43981648841374,1.38906590950588,0.474115055087024,0.823795506002113,0.176204493997887,0.352408987995773,0.678364686217073,83990,CDS,(RefSeq) BRCA1 interacting helicase 1,,"Homologous recombination, Fanconi anemia pathway",2
